======================================================================
ALIGNMENT STATISTICS SUMMARY
======================================================================

Total HARs analyzed: 3254
Total aligned length: 876143 bp
Total conserved positions: 800200
Total substitutions: 43884
Total gaps: 32059

Average conservation rate: 91.66%
Min conservation: 7.14%
Max conservation: 100.00%

======================================================================
PER-HAR DETAILS
======================================================================

     HAR  Length  Conserved  Substitutions  Gaps Conservation_Rate
HAR_1057     633        622             10     1            98.26%
HAR_1058     334        325              9     0            97.31%
HAR_1059      28         25              3     0            89.29%
 HAR_106     250        243              7     0            97.20%
HAR_1060     316        311              5     0            98.42%
HAR_1061     537        529              8     0            98.51%
HAR_1062     499        495              4     0            99.20%
HAR_1063     461        453              8     0            98.26%
HAR_1064      22         19              3     0            86.36%
HAR_1065     194        190              4     0            97.94%
HAR_1066     170        166              4     0            97.65%
HAR_1067     255        248              7     0            97.25%
HAR_1068     307        303              4     0            98.70%
HAR_1069     318        311              7     0            97.80%
 HAR_107     760        753              7     0            99.08%
HAR_1070     224        215              9     0            95.98%
HAR_1071     154        150              4     0            97.40%
HAR_1072     480        469             11     0            97.71%
HAR_1073     237        231              6     0            97.47%
HAR_1074     406        402              4     0            99.01%
HAR_1075     162        159              3     0            98.15%
HAR_1076     495        491              4     0            99.19%
HAR_1077     358        351              7     0            98.04%
HAR_1078     396        389              4     3            98.23%
HAR_1079     177        171              6     0            96.61%
 HAR_108     310        305              5     0            98.39%
HAR_1080      99         96              3     0            96.97%
HAR_1081     388        384              4     0            98.97%
HAR_1082     131        128              3     0            97.71%
HAR_1083     229        224              5     0            97.82%
HAR_1084     150        142              8     0            94.67%
HAR_1085     150        146              4     0            97.33%
HAR_1086     356        352              4     0            98.88%
HAR_1087     185        180              4     1            97.30%
HAR_1088     202        198              4     0            98.02%
HAR_1089      67         63              4     0            94.03%
 HAR_109     143        137              3     3            95.80%
HAR_1090      23         20              3     0            86.96%
HAR_1091     182        178              4     0            97.80%
HAR_1092      36         33              3     0            91.67%
HAR_1093     322        317              5     0            98.45%
HAR_1094     157         64             87     6            40.76%
HAR_1095     217         83             72    62            38.25%
HAR_1096     444        104            132   208            23.42%
HAR_1097     850        173            221   456            20.35%
HAR_1098     510        189            227    94            37.06%
HAR_1099     187         62             59    66            33.16%
  HAR_11     132        127              4     1            96.21%
 HAR_110     791        780             11     0            98.61%
HAR_1100     126         56             64     6            44.44%
HAR_1101     176         67             87    22            38.07%
HAR_1102     166         31             43    92            18.67%
HAR_1103     542        120            141   281            22.14%
HAR_1104     163         58             55    50            35.58%
HAR_1105      48         15             13    20            31.25%
HAR_1106     267        260              7     0            97.38%
HAR_1107     191        187              4     0            97.91%
HAR_1108     152        144              4     4            94.74%
HAR_1109     340        334              6     0            98.24%
 HAR_111     367        362              4     1            98.64%
HAR_1110     216        211              5     0            97.69%
HAR_1111      35         31              4     0            88.57%
HAR_1112     253        246              7     0            97.23%
HAR_1113     498        491              7     0            98.59%
HAR_1114     290        280             10     0            96.55%
HAR_1115     145        140              5     0            96.55%
HAR_1116     110        105              5     0            95.45%
HAR_1117     158        155              3     0            98.10%
HAR_1118     399        393              6     0            98.50%
HAR_1119     278        274              4     0            98.56%
 HAR_112     200        197              3     0            98.50%
HAR_1120     302        290             12     0            96.03%
HAR_1121      22         18              4     0            81.82%
HAR_1122     201        197              4     0            98.01%
HAR_1123      13         10              3     0            76.92%
HAR_1124     149        145              4     0            97.32%
HAR_1125     251        244              7     0            97.21%
HAR_1126     529        518             10     1            97.92%
HAR_1127     122        118              4     0            96.72%
HAR_1128     218        214              4     0            98.17%
HAR_1129      39         36              3     0            92.31%
 HAR_113     985        981              4     0            99.59%
HAR_1130     245        236              9     0            96.33%
HAR_1131     323        319              4     0            98.76%
HAR_1132     280        274              6     0            97.86%
HAR_1133     750        729             21     0            97.20%
HAR_1134      20         16              4     0            80.00%
HAR_1135     459        448             10     1            97.60%
HAR_1136      26         23              3     0            88.46%
HAR_1137      42         39              3     0            92.86%
HAR_1138     730        704             24     2            96.44%
HAR_1139     570        554             16     0            97.19%
 HAR_114     191        185              6     0            96.86%
HAR_1140     815        736             11    68            90.31%
HAR_1141     153        132              4    17            86.27%
HAR_1142     217         50             69    98            23.04%
HAR_1143     209        202              7     0            96.65%
HAR_1144     443        433              9     1            97.74%
HAR_1145     371        359             12     0            96.77%
HAR_1146     575        564             11     0            98.09%
HAR_1147      23         21              2     0            91.30%
HAR_1148     246        240              6     0            97.56%
HAR_1149      26         23              3     0            88.46%
 HAR_115     356        351              4     1            98.60%
HAR_1150     133        127              4     2            95.49%
HAR_1151     221        215              6     0            97.29%
HAR_1152     190        183              7     0            96.32%
HAR_1153     429        162            215    52            37.76%
HAR_1154     485        139            162   184            28.66%
HAR_1155     519         45             56   418             8.67%
HAR_1156      67         21             18    28            31.34%
HAR_1157     257         64            114    79            24.90%
HAR_1158     153         19             10   124            12.42%
 HAR_116     214        210              4     0            98.13%
HAR_1160     490        486              4     0            99.18%
HAR_1161     196         44             60    92            22.45%
HAR_1162     584        104            116   364            17.81%
HAR_1163      62         27             15    20            43.55%
HAR_1164     326        109            127    90            33.44%
HAR_1165     620        206            272   142            33.23%
HAR_1166     325        107            122    96            32.92%
HAR_1167     299         98            103    98            32.78%
HAR_1168     182         61            113     8            33.52%
HAR_1169     499        199            229    71            39.88%
 HAR_117     455        447              8     0            98.24%
HAR_1170     156         65             74    17            41.67%
HAR_1171     186         79             87    20            42.47%
HAR_1172     595        586              8     1            98.49%
HAR_1173     429        104             87   238            24.24%
HAR_1174     336        137            141    58            40.77%
HAR_1175     259         85            116    58            32.82%
HAR_1176     305         77             72   156            25.25%
HAR_1177     292         62             58   172            21.23%
HAR_1178     606        153            155   298            25.25%
HAR_1179     274        268              6     0            97.81%
 HAR_118     406        399              7     0            98.28%
HAR_1180     260        255              5     0            98.08%
HAR_1181     207        203              4     0            98.07%
HAR_1182     168        164              4     0            97.62%
HAR_1183     301        123            140    38            40.86%
HAR_1184     173        169              4     0            97.69%
HAR_1185     192        186              6     0            96.88%
HAR_1186     205        197              4     4            96.10%
HAR_1187     292        288              4     0            98.63%
HAR_1188     155        152              3     0            98.06%
HAR_1189     448        443              5     0            98.88%
 HAR_119     439        435              4     0            99.09%
HAR_1190     348        344              4     0            98.85%
HAR_1193     108        106              2     0            98.15%
HAR_1194     384        377              7     0            98.18%
HAR_1195     282        261              4    17            92.55%
HAR_1196      20         18              2     0            90.00%
HAR_1197     201        196              5     0            97.51%
HAR_1198     105         97              5     3            92.38%
HAR_1199     262        258              4     0            98.47%
  HAR_12     635        616             19     0            97.01%
 HAR_120     260        256              4     0            98.46%
HAR_1200     213        208              5     0            97.65%
HAR_1201     327        323              4     0            98.78%
HAR_1202     293        283              4     6            96.59%
HAR_1203     151        141             10     0            93.38%
HAR_1204     441        434              5     2            98.41%
HAR_1205     575        561             14     0            97.57%
HAR_1206      28         25              3     0            89.29%
HAR_1207     245        239              6     0            97.55%
HAR_1208      57         53              4     0            92.98%
HAR_1209     150        144              6     0            96.00%
 HAR_121     528        519              9     0            98.30%
HAR_1210     246        239              7     0            97.15%
HAR_1211     222        214              8     0            96.40%
HAR_1212     168        164              4     0            97.62%
HAR_1213     426        148            142   136            34.74%
HAR_1214    1024        245            246   533            23.93%
HAR_1215     254         71             85    98            27.95%
HAR_1216    1666        499            635   532            29.95%
HAR_1217     293         75             92   126            25.60%
HAR_1218     462        156            203   103            33.77%
HAR_1219     632        206            251   175            32.59%
 HAR_122     244        239              5     0            97.95%
HAR_1220     353         32             39   282             9.07%
HAR_1221     107         45             53     9            42.06%
HAR_1222      84         29             27    28            34.52%
HAR_1223      36          9              5    22            25.00%
HAR_1224      32         16              8     8            50.00%
HAR_1225     213        209              4     0            98.12%
HAR_1226     150        147              3     0            98.00%
HAR_1227     500        493              7     0            98.60%
HAR_1228     485        476              9     0            98.14%
HAR_1229     165        163              2     0            98.79%
 HAR_123     171        168              3     0            98.25%
HAR_1230     350        344              6     0            98.29%
HAR_1231     339        335              4     0            98.82%
HAR_1232     275        272              3     0            98.91%
HAR_1233      74         68              5     1            91.89%
HAR_1234     313        309              4     0            98.72%
HAR_1235     307        301              6     0            98.05%
HAR_1236     390        382              8     0            97.95%
HAR_1237     371        367              4     0            98.92%
HAR_1238     982        977              4     1            99.49%
HAR_1239     326        321              5     0            98.47%
 HAR_124     168        164              4     0            97.62%
HAR_1240     288        280              5     3            97.22%
HAR_1241      22         19              3     0            86.36%
HAR_1242      24         20              4     0            83.33%
HAR_1243     150        145              5     0            96.67%
HAR_1244     106        102              4     0            96.23%
HAR_1245      97         94              3     0            96.91%
HAR_1246     109        106              3     0            97.25%
HAR_1247     186        181              5     0            97.31%
HAR_1248     566        559              7     0            98.76%
HAR_1249     170        146              9    15            85.88%
 HAR_125     470        459             11     0            97.66%
HAR_1250     150        146              4     0            97.33%
HAR_1251     386        373             12     1            96.63%
HAR_1252     270        266              4     0            98.52%
HAR_1253     171        168              3     0            98.25%
HAR_1254     303        291              8     4            96.04%
HAR_1255     664        657              5     2            98.95%
HAR_1256     105         97              5     3            92.38%
HAR_1257     189        184              5     0            97.35%
HAR_1258     302        296              5     1            98.01%
HAR_1259     171        169              2     0            98.83%
 HAR_126     139        135              4     0            97.12%
HAR_1260     245        235              5     5            95.92%
HAR_1261     357        350              7     0            98.04%
HAR_1262     661        653              4     4            98.79%
HAR_1263      22         19              3     0            86.36%
HAR_1264     354        350              4     0            98.87%
HAR_1265     127        125              2     0            98.43%
HAR_1266     120        118              2     0            98.33%
HAR_1267     300        295              5     0            98.33%
HAR_1268     159        156              3     0            98.11%
HAR_1269     352        347              4     1            98.58%
 HAR_127     226        222              4     0            98.23%
HAR_1270     298        292              6     0            97.99%
HAR_1271     157        153              4     0            97.45%
HAR_1272     299        291              4     4            97.32%
HAR_1273     208        200              5     3            96.15%
HAR_1274     213        209              4     0            98.12%
HAR_1275     164        160              4     0            97.56%
HAR_1276     150        145              5     0            96.67%
HAR_1277     146        142              4     0            97.26%
HAR_1278     530        514             13     3            96.98%
HAR_1279      42         39              3     0            92.86%
HAR_1280     141        137              4     0            97.16%
HAR_1281     253        248              5     0            98.02%
HAR_1282     291        287              4     0            98.63%
HAR_1283     271        264              7     0            97.42%
HAR_1284     190        184              6     0            96.84%
HAR_1285     271        267              4     0            98.52%
HAR_1286     266        262              4     0            98.50%
HAR_1287     471        466              5     0            98.94%
HAR_1288     102         99              3     0            97.06%
HAR_1289      17         15              2     0            88.24%
 HAR_129     230        225              5     0            97.83%
HAR_1290     791        787              4     0            99.49%
HAR_1291     290        283              7     0            97.59%
HAR_1292     167        163              4     0            97.60%
HAR_1293     557        543              7     7            97.49%
HAR_1294     185        180              5     0            97.30%
HAR_1295     286        281              5     0            98.25%
HAR_1296     241        237              4     0            98.34%
HAR_1297     290        283              7     0            97.59%
HAR_1298      83         81              2     0            97.59%
HAR_1299      29         26              3     0            89.66%
  HAR_13     570        562              8     0            98.60%
 HAR_130     109        103              5     1            94.50%
HAR_1300     224        219              5     0            97.77%
HAR_1301     403        395              8     0            98.01%
HAR_1302     303        292              7     4            96.37%
HAR_1303     152        144              8     0            94.74%
HAR_1304      18         15              3     0            83.33%
HAR_1305     179        174              5     0            97.21%
HAR_1306     428        416              7     5            97.20%
HAR_1307     151        148              3     0            98.01%
HAR_1308     303        296              5     2            97.69%
HAR_1309     291        283              8     0            97.25%
 HAR_131     164        160              4     0            97.56%
HAR_1310     185        181              4     0            97.84%
HAR_1311     410        401              9     0            97.80%
HAR_1312      16         13              3     0            81.25%
HAR_1313      16         11              5     0            68.75%
HAR_1314     197        191              5     1            96.95%
HAR_1315     510        499             11     0            97.84%
HAR_1316      77         70              7     0            90.91%
HAR_1317     450        443              7     0            98.44%
HAR_1318      22         18              4     0            81.82%
HAR_1319     226        222              4     0            98.23%
 HAR_132     314        303             11     0            96.50%
HAR_1320     260        228             18    14            87.69%
HAR_1321      99         94              5     0            94.95%
HAR_1322     210        203              7     0            96.67%
HAR_1323     101         98              3     0            97.03%
HAR_1324     337        331              5     1            98.22%
HAR_1325     281        277              4     0            98.58%
HAR_1326     150        142              8     0            94.67%
HAR_1327     534        529              5     0            99.06%
HAR_1328     250        236             14     0            94.40%
HAR_1329     229        225              4     0            98.25%
 HAR_133     300        292              8     0            97.33%
HAR_1330     112        108              4     0            96.43%
HAR_1331     378        374              4     0            98.94%
HAR_1332      47         43              4     0            91.49%
HAR_1333     184        179              5     0            97.28%
HAR_1334     139        136              3     0            97.84%
HAR_1335     105        100              5     0            95.24%
HAR_1336     743        713             19    11            95.96%
HAR_1337     410        407              3     0            99.27%
HAR_1338     330        322              5     3            97.58%
HAR_1339     332        321              9     2            96.69%
 HAR_134     205        198              7     0            96.59%
HAR_1340     384        377              7     0            98.18%
HAR_1341     142        139              3     0            97.89%
HAR_1342      90         87              3     0            96.67%
HAR_1343     183        179              4     0            97.81%
HAR_1344     163        154              5     4            94.48%
HAR_1345     484        473             11     0            97.73%
HAR_1346     237        233              4     0            98.31%
HAR_1347     183        174              7     2            95.08%
HAR_1348     293        278              8     7            94.88%
HAR_1349     754        742              8     4            98.41%
 HAR_135     291        282              8     1            96.91%
HAR_1350     304        298              4     2            98.03%
HAR_1352     329        325              4     0            98.78%
HAR_1353     959        316            319   324            32.95%
HAR_1354     247        243              4     0            98.38%
HAR_1355     193        189              4     0            97.93%
HAR_1356      94         88              5     1            93.62%
HAR_1357     203        198              5     0            97.54%
HAR_1358     290        282              8     0            97.24%
HAR_1359     474        467              7     0            98.52%
 HAR_136     370        362              8     0            97.84%
HAR_1360     171        168              3     0            98.25%
HAR_1361     395        391              4     0            98.99%
HAR_1362     264        259              4     1            98.11%
HAR_1363     379        372              7     0            98.15%
HAR_1364     288        284              4     0            98.61%
HAR_1365     756        748              5     3            98.94%
HAR_1366     390        381              9     0            97.69%
HAR_1367     560        552              8     0            98.57%
HAR_1368     241         76            111    54            31.54%
HAR_1369     196        190              6     0            96.94%
 HAR_137     290        284              6     0            97.93%
HAR_1370     323        312              6     5            96.59%
HAR_1373     135        129              6     0            95.56%
HAR_1374     189        185              4     0            97.88%
HAR_1375     325        318              5     2            97.85%
HAR_1376     377        373              4     0            98.94%
HAR_1377     249        245              4     0            98.39%
HAR_1378     136        132              4     0            97.06%
HAR_1379     590        577             13     0            97.80%
 HAR_138     210         45             45   120            21.43%
HAR_1380     163        159              4     0            97.55%
HAR_1381      21         18              3     0            85.71%
HAR_1382     499        490              9     0            98.20%
HAR_1383     184        180              4     0            97.83%
HAR_1384     383        373              4     6            97.39%
HAR_1385      39         36              3     0            92.31%
HAR_1386     185        176              4     5            95.14%
HAR_1387     143        140              3     0            97.90%
HAR_1388     123        114              4     5            92.68%
HAR_1389     561        550             11     0            98.04%
 HAR_139     110        108              2     0            98.18%
HAR_1390     666        655             11     0            98.35%
HAR_1391     306        300              6     0            98.04%
HAR_1392     137        133              4     0            97.08%
HAR_1393     231        226              5     0            97.84%
HAR_1394     265        258              7     0            97.36%
HAR_1395     322        315              7     0            97.83%
HAR_1396     730        719             11     0            98.49%
HAR_1397     106         97              5     4            91.51%
HAR_1398      64         60              4     0            93.75%
HAR_1399     750        739             11     0            98.53%
  HAR_14     179        175              4     0            97.77%
 HAR_140     580        564             15     1            97.24%
HAR_1400      71         67              4     0            94.37%
HAR_1401     249        245              4     0            98.39%
HAR_1402     140        136              4     0            97.14%
HAR_1403     280        276              4     0            98.57%
HAR_1404      25         22              3     0            88.00%
HAR_1405     210        205              5     0            97.62%
HAR_1406     293        279             10     4            95.22%
HAR_1407     125        121              4     0            96.80%
HAR_1408     492        482              5     5            97.97%
HAR_1409     408        401              7     0            98.28%
 HAR_141      16         13              3     0            81.25%
HAR_1410     436        431              5     0            98.85%
HAR_1411     285        260             11    14            91.23%
HAR_1412     495        481              9     5            97.17%
HAR_1413     195        186              9     0            95.38%
HAR_1414     306        302              4     0            98.69%
HAR_1415      44         41              3     0            93.18%
HAR_1416     317        303             10     4            95.58%
HAR_1417     222        217              5     0            97.75%
HAR_1418     197        190              7     0            96.45%
HAR_1419     209        201              5     3            96.17%
 HAR_142     273        268              5     0            98.17%
HAR_1420     158        153              5     0            96.84%
HAR_1421     331        327              4     0            98.79%
HAR_1422     239        235              4     0            98.33%
HAR_1423     280        272              8     0            97.14%
HAR_1424     348        343              4     1            98.56%
HAR_1425     179        175              4     0            97.77%
HAR_1426     104        100              4     0            96.15%
HAR_1427     181        177              4     0            97.79%
HAR_1428      20         17              3     0            85.00%
HAR_1429     292        285              7     0            97.60%
 HAR_143     255        251              4     0            98.43%
HAR_1430     171        166              5     0            97.08%
HAR_1431     643        639              4     0            99.38%
HAR_1432     307        301              6     0            98.05%
HAR_1433     196        191              5     0            97.45%
HAR_1434     300        292              8     0            97.33%
HAR_1435     176        170              6     0            96.59%
HAR_1436     473        460              7     6            97.25%
HAR_1437     276        269              7     0            97.46%
HAR_1438     121        114              6     1            94.21%
HAR_1439    1164       1157              7     0            99.40%
HAR_1440     187        182              5     0            97.33%
HAR_1441     190        186              4     0            97.89%
HAR_1442     264        254             10     0            96.21%
HAR_1443     198        192              5     1            96.97%
HAR_1444     310        301              9     0            97.10%
HAR_1445     708        704              4     0            99.44%
HAR_1446     349        343              5     1            98.28%
HAR_1447     834        826              8     0            99.04%
HAR_1448     466        460              4     2            98.71%
HAR_1449     360        352              8     0            97.78%
 HAR_145     166        160              6     0            96.39%
HAR_1450      70         67              3     0            95.71%
HAR_1451     430        417             13     0            96.98%
HAR_1452     261        256              5     0            98.08%
HAR_1453     150        142              8     0            94.67%
HAR_1454     221        216              4     1            97.74%
HAR_1455     403        397              6     0            98.51%
HAR_1456     142        136              5     1            95.77%
HAR_1457     388        381              7     0            98.20%
HAR_1458      15         12              3     0            80.00%
HAR_1459     213        207              4     2            97.18%
 HAR_146     357        330             20     7            92.44%
HAR_1460     256        252              4     0            98.44%
HAR_1461     249        243              6     0            97.59%
HAR_1462      51         48              3     0            94.12%
HAR_1463     146        141              5     0            96.58%
HAR_1464     555        544              8     3            98.02%
HAR_1465     298        292              6     0            97.99%
HAR_1466     215        209              5     1            97.21%
HAR_1467     124        121              3     0            97.58%
HAR_1468      70         66              4     0            94.29%
HAR_1469     158        154              4     0            97.47%
 HAR_147     102         98              4     0            96.08%
HAR_1470     332        318             11     3            95.78%
HAR_1471     162        158              4     0            97.53%
HAR_1472     242        235              4     3            97.11%
HAR_1473      73         69              4     0            94.52%
HAR_1474     201        196              5     0            97.51%
HAR_1475      16         13              3     0            81.25%
HAR_1476     162        157              5     0            96.91%
HAR_1477     207        202              5     0            97.58%
HAR_1478     120        115              5     0            95.83%
HAR_1479     126        122              4     0            96.83%
HAR_1480     230        224              6     0            97.39%
HAR_1481     216        207              5     4            95.83%
HAR_1486     286         49             46   191            17.13%
HAR_1487     236         59             61   116            25.00%
HAR_1488     176        171              4     1            97.16%
HAR_1489     134        131              3     0            97.76%
HAR_1490     575        560              9     6            97.39%
HAR_1491     287        283              4     0            98.61%
HAR_1492     338        329              9     0            97.34%
HAR_1493     360        352              8     0            97.78%
HAR_1494     199        194              5     0            97.49%
HAR_1495     343        334              6     3            97.38%
HAR_1496     310        303              7     0            97.74%
HAR_1497     151        147              4     0            97.35%
HAR_1498     511        498             12     1            97.46%
HAR_1499     230        226              4     0            98.26%
  HAR_15      95         91              4     0            95.79%
HAR_1500     162        158              4     0            97.53%
HAR_1503     212         59             93    60            27.83%
HAR_1504     281         58             63   160            20.64%
HAR_1505     769        252            313   204            32.77%
HAR_1506     674        188            189   297            27.89%
HAR_1507      73         68              5     0            93.15%
HAR_1508     640        630             10     0            98.44%
HAR_1509     183        179              4     0            97.81%
 HAR_151     235        228              7     0            97.02%
HAR_1510     130        126              4     0            96.92%
HAR_1511     322        311             11     0            96.58%
HAR_1512     237        233              4     0            98.31%
HAR_1513      23         21              2     0            91.30%
HAR_1514     159        156              3     0            98.11%
HAR_1515     534        527              7     0            98.69%
HAR_1516     265        258              7     0            97.36%
HAR_1517     722        704             17     1            97.51%
HAR_1518     436        414              6    16            94.95%
HAR_1519     150        144              6     0            96.00%
 HAR_152     146        142              4     0            97.26%
HAR_1520     109        105              4     0            96.33%
HAR_1521     357        340             16     1            95.24%
HAR_1522     285        281              4     0            98.60%
HAR_1523     305        300              4     1            98.36%
HAR_1524     150        146              4     0            97.33%
HAR_1525     101         99              2     0            98.02%
HAR_1526     243        237              5     1            97.53%
HAR_1527     151        147              4     0            97.35%
HAR_1528     121         55             42    24            45.45%
HAR_1529     196        191              5     0            97.45%
 HAR_153     312        308              4     0            98.72%
HAR_1530     132        128              4     0            96.97%
HAR_1531     290        282              8     0            97.24%
HAR_1532     202        199              3     0            98.51%
HAR_1533     292        284              7     1            97.26%
HAR_1534     156        151              5     0            96.79%
HAR_1535     467        454              9     4            97.22%
HAR_1536      51         46              4     1            90.20%
HAR_1537     102         98              4     0            96.08%
HAR_1538     269        265              4     0            98.51%
HAR_1539     221        215              6     0            97.29%
 HAR_154     220        214              6     0            97.27%
HAR_1540     345        341              4     0            98.84%
HAR_1541     357        353              4     0            98.88%
HAR_1542     246        240              6     0            97.56%
HAR_1543     353        346              7     0            98.02%
HAR_1544     547        543              4     0            99.27%
HAR_1545     150        148              2     0            98.67%
HAR_1546     124        122              2     0            98.39%
HAR_1547      88         56              8    24            63.64%
HAR_1548     424        420              4     0            99.06%
HAR_1549     206        204              2     0            99.03%
 HAR_155     257        252              5     0            98.05%
HAR_1550     964        959              5     0            99.48%
HAR_1551     419        415              4     0            99.05%
HAR_1552     333        326              7     0            97.90%
HAR_1553     618        609              7     2            98.54%
HAR_1554      17         10              4     3            58.82%
HAR_1555     573        569              4     0            99.30%
HAR_1556     170        164              6     0            96.47%
HAR_1557     753        749              4     0            99.47%
HAR_1558     455        451              4     0            99.12%
HAR_1559     245        240              5     0            97.96%
 HAR_156     118        116              2     0            98.31%
HAR_1560     308        304              4     0            98.70%
HAR_1561     330        324              4     2            98.18%
HAR_1562     265        262              3     0            98.87%
HAR_1563     174        164              6     4            94.25%
HAR_1564     415        411              4     0            99.04%
HAR_1565     632        627              5     0            99.21%
HAR_1566     764        760              4     0            99.48%
HAR_1567     211        207              4     0            98.10%
HAR_1568      77         73              4     0            94.81%
HAR_1569     670        657             13     0            98.06%
 HAR_157     196        192              4     0            97.96%
HAR_1570     358        339             11     8            94.69%
HAR_1571     259        255              3     1            98.46%
HAR_1572     204        201              3     0            98.53%
HAR_1573      23         20              3     0            86.96%
HAR_1574     208        206              2     0            99.04%
HAR_1575      19         16              3     0            84.21%
HAR_1576     566        560              4     2            98.94%
HAR_1577      33         19              3    11            57.58%
HAR_1578     381        377              4     0            98.95%
HAR_1579      62         60              2     0            96.77%
 HAR_158     362        358              4     0            98.90%
HAR_1580     172        169              3     0            98.26%
HAR_1581     167        163              4     0            97.60%
HAR_1582      64         59              5     0            92.19%
HAR_1583      32         29              3     0            90.62%
HAR_1584     391        384              6     1            98.21%
HAR_1585      15         13              2     0            86.67%
HAR_1586     181        177              4     0            97.79%
HAR_1587     357        353              4     0            98.88%
HAR_1588     148        145              3     0            97.97%
HAR_1589     185        180              5     0            97.30%
 HAR_159     279        275              4     0            98.57%
HAR_1590     559        555              4     0            99.28%
HAR_1591     459        453              6     0            98.69%
HAR_1592     319        315              4     0            98.75%
HAR_1593     373        368              5     0            98.66%
HAR_1594     748        744              4     0            99.47%
HAR_1595     438        433              4     1            98.86%
HAR_1596     100         97              3     0            97.00%
HAR_1597     291        284              7     0            97.59%
HAR_1598     315        300              7     8            95.24%
HAR_1599     224        219              5     0            97.77%
  HAR_16      17         16              1     0            94.12%
 HAR_160     350        346              4     0            98.86%
HAR_1600     204        199              5     0            97.55%
HAR_1601     269        265              4     0            98.51%
HAR_1602     345        340              4     1            98.55%
HAR_1603     340        333              5     2            97.94%
HAR_1605     243        239              4     0            98.35%
HAR_1606     259        253              6     0            97.68%
HAR_1607     256        252              4     0            98.44%
HAR_1608     708        703              5     0            99.29%
HAR_1609     192        188              4     0            97.92%
 HAR_161     406        401              5     0            98.77%
HAR_1610     407        399              8     0            98.03%
HAR_1611     126        122              4     0            96.83%
HAR_1612     142        139              3     0            97.89%
HAR_1613     644        640              4     0            99.38%
HAR_1614     127        123              4     0            96.85%
HAR_1615      22         17              5     0            77.27%
HAR_1616     161        158              3     0            98.14%
HAR_1617     302        295              7     0            97.68%
HAR_1618     213        209              4     0            98.12%
HAR_1619      25         22              3     0            88.00%
 HAR_162     226        221              5     0            97.79%
HAR_1620     180        175              4     1            97.22%
