chrom	start	end	har_coord	category	nearest_gene	distance_to_gene
chr1	80545735	80545885	chr1:80545735-80545885	intronic	RP5-933B4.1	0
chr1	80818014	80818217	chr1:80818014-80818217	intergenic_proximal	LINC01781	171224
chr1	80908188	80908308	chr1:80908188-80908308	intergenic_proximal	MTND2P30	172482
chr1	80990486	80990543	chr1:80990486-80990543	intergenic_proximal	MTND2P30	90247
chr1	81028401	81028736	chr1:81028401-81028736	intergenic_proximal	MTND2P30	52054
chr1	81158067	81158205	chr1:81158067-81158205	intergenic_proximal	RP11-432D22.1	50363
chr1	81203339	81203468	chr1:81203339-81203468	intergenic_proximal	RP11-432D22.1	5100
chr1	81598767	81599134	chr1:81598767-81599134	intronic	ADGRL2	0
chr1	82031937	82032071	chr1:82031937-82032071	intergenic_proximal	ADGRL2	39502
chr1	82755214	82755523	chr1:82755214-82755523	intronic	RP11-147G16.1	0
chr1	82765306	82765335	chr1:82765306-82765335	intronic	RP11-147G16.1	0
chr1	82765403	82765587	chr1:82765403-82765587	intronic	RP11-147G16.1	0
chr1	82986012	82986272	chr1:82986012-82986272	promoter_proximal	LINC01362	0
chr1	83405679	83406228	chr1:83405679-83406228	intronic	RP11-338F23.1	0
chr1	83503702	83504076	chr1:83503702-83504076	intergenic_proximal	LINC01712	23679
chr1	83745787	83746288	chr1:83745787-83746288	intronic	LINC01725	0
chr1	87252477	87252747	chr1:87252477-87252747	intronic	LINC02801	0
chr1	87356242	87356501	chr1:87356242-87356501	intronic	LINC01364	0
chr1	87369780	87370173	chr1:87369780-87370173	promoter_proximal	LINC01364	0
chr1	87610196	87610438	chr1:87610196-87610438	intergenic_proximal	PKN2-AS1	10365
chr1	87795957	87796207	chr1:87795957-87796207	intronic	PKN2-AS1	0
chr1	87820275	87821035	chr1:87820275-87821035	intronic	PKN2-AS1	0
chr1	87927396	87927706	chr1:87927396-87927706	intronic	PKN2-AS1	0
chr1	88071063	88071206	chr1:88071063-88071206	intronic	PKN2-AS1	0
chr1	88150109	88150900	chr1:88150109-88150900	intronic	PKN2-AS1	0
chr1	88158575	88158941	chr1:88158575-88158941	intronic	PKN2-AS1	0
chr1	88179747	88179947	chr1:88179747-88179947	intronic	PKN2-AS1	0
chr1	88461695	88462680	chr1:88461695-88462680	promoter_proximal	PKN2-AS1	0
chr1	88487048	88487239	chr1:88487048-88487239	intronic	PKN2-AS1	0
chr1	90820841	90821197	chr1:90820841-90821197	intronic	LINC02609	0
chr1	95267192	95267406	chr1:95267192-95267406	intronic	RP11-57H12.5	0
chr1	95281318	95281773	chr1:95281318-95281773	promoter_proximal	RP11-57H12.7	460
chr1	95341345	95341751	chr1:95341345-95341751	intergenic_proximal	LINC01650	9500
chr1	95933884	95934323	chr1:95933884-95934323	intergenic_proximal	LINC02790	3578
chr1	96495213	96495473	chr1:96495213-96495473	intergenic_proximal	EEF1A1P11	46896
chr1	96926010	96926538	chr1:96926010-96926538	intergenic_proximal	PTBP2	102273
chr1	96997824	96998068	chr1:96997824-96998068	intergenic_proximal	DPYD	79675
chr1	98157673	98157844	chr1:98157673-98157844	intergenic_proximal	LINC01776	52903
chr1	101024897	101025065	chr1:101024897-101025065	promoter_proximal	DPH5	0
chr1	101025244	101025714	chr1:101025244-101025714	promoter_proximal	DPH5	0
chr1	101155362	101155501	chr1:101155362-101155501	intergenic_proximal	ENSG10010137843.1	22024
chr1	101667767	101667993	chr1:101667767-101667993	intronic	LINC01709	0
chr1	102879664	102879894	chr1:102879664-102879894	exonic	COL11A1	0
chr1	104278111	104278219	chr1:104278111-104278219	intergenic_proximal	RP11-364B6.2	51434
chr1	104994492	104994656	chr1:104994492-104994656	intergenic_proximal	RP11-333H8.1	3750
chr1	106352704	106353018	chr1:106352704-106353018	intergenic_proximal	RP11-478L17.1	191324
chr1	106676552	106676852	chr1:106676552-106676852	intergenic_proximal	RP11-110F24.1	103371
chr1	106748663	106748868	chr1:106748663-106748868	intergenic_proximal	RP11-110F24.1	31355
chr1	106749998	106750288	chr1:106749998-106750288	intergenic_proximal	RP11-110F24.1	29935
chr1	107683078	107683448	chr1:107683078-107683448	intronic	VAV3	0
chr1	108717938	108718228	chr1:108717938-108718228	exonic	FNDC7	0
chr1	113269218	113269368	chr1:113269218-113269368	intergenic_proximal	RP11-389O22.5	69961
chr1	115826607	115826717	chr1:115826607-115826717	intergenic_proximal	NHLH2	9660
chr1	116311738	116312318	chr1:116311738-116312318	intergenic_proximal	RP4-787H6.1	14118
chr1	118736868	118736884	chr1:118736868-118736884	intergenic_proximal	RP4-630J13.1	23191
chr1	119133035	119133308	chr1:119133035-119133308	intronic	WARS2	0
chr1	119596848	119597103	chr1:119596848-119597103	promoter_proximal	GAPDHP33	0
chr1	147041298	147041464	chr1:147041298-147041464	intronic	CH17-112A12.2	0
chr1	148196282	148196632	chr1:148196282-148196632	intronic	RP4-565E6.1	0
chr1	148205918	148206020	chr1:148205918-148206020	intronic	RP4-565E6.1	0
chr1	157724308	157724543	chr1:157724308-157724543	promoter_proximal	VDAC1P9	0
chr1	158175321	158175467	chr1:158175321-158175467	intergenic_proximal	ELL2P1	383
chr1	163237826	163238138	chr1:163237826-163238138	promoter_proximal	RGS5	0
chr1	163564305	163564525	chr1:163564305-163564525	intergenic_proximal	RNA5SP63	54711
chr1	164381001	164381258	chr1:164381001-164381258	intergenic_proximal	HMGB3P6	23638
chr1	164563928	164564046	chr1:164563928-164564046	exonic	PBX1	0
chr1	170642943	170643139	chr1:170642943-170643139	intronic	RP1-79C4.1	0
chr1	170748364	170748726	chr1:170748364-170748726	intronic	RP1-45C12.1	0
chr1	172224416	172224695	chr1:172224416-172224695	intronic	DNM3	0
chr1	175204284	175204634	chr1:175204284-175204634	promoter_proximal	RP5-1114G22.2	0
chr1	175565976	175566382	chr1:175565976-175566382	intronic	TNR	0
chr1	175735546	175735772	chr1:175735546-175735772	intronic	TNR	0
chr1	175753603	175753762	chr1:175753603-175753762	intergenic_proximal	TNR	9988
chr1	176693984	176694299	chr1:176693984-176694299	intronic	PAPPA2	0
chr1	177040098	177040366	chr1:177040098-177040366	intronic	ASTN1	0
chr1	177118301	177118504	chr1:177118301-177118504	intronic	ASTN1	0
chr1	177363659	177363864	chr1:177363659-177363864	intronic	LINC01645	0
chr1	177611688	177612014	chr1:177611688-177612014	intronic	RP1-35C21.2	0
chr1	177895781	177896346	chr1:177895781-177896346	intronic	RP1-35C21.2	0
chr1	178394460	178394756	chr1:178394460-178394756	intronic	RASAL2	0
chr1	181808776	181809020	chr1:181808776-181809020	intronic	RP11-33M22.4	0
chr1	183777185	183777335	chr1:183777185-183777335	intronic	RGL1	0
chr1	183850866	183851356	chr1:183850866-183851356	intronic	RGL1	0
chr1	188633072	188633285	chr1:188633072-188633285	intergenic_proximal	RP11-669M2.2	38068
chr1	192142487	192142597	chr1:192142487-192142597	intergenic_proximal	RGS18	15865
chr1	193861230	193861293	chr1:193861230-193861293	intronic	RP11-563D10.1	0
chr1	193963314	193963424	chr1:193963314-193963424	intronic	RP11-563D10.1	0
chr1	194338430	194338920	chr1:194338430-194338920	intergenic_proximal	RP11-476H20.1	12023
chr1	194565157	194565371	chr1:194565157-194565371	intergenic_proximal	RNU6-983P	76953
chr1	195903899	195904096	chr1:195903899-195904096	intergenic_proximal	RP11-379L12.1	140399
chr1	195935304	195935391	chr1:195935304-195935391	intergenic_proximal	LINC01724	109492
chr1	200314907	200315510	chr1:200314907-200315510	promoter_proximal	LINC00862	0
chr1	200469292	200469562	chr1:200469292-200469562	intronic	RP11-469A15.2	0
chr1	202282592	202282862	chr1:202282592-202282862	intronic	LGR6	0
chr1	202695480	202695665	chr1:202695480-202695665	intronic	SYT2	0
chr1	203367152	203367402	chr1:203367152-203367402	intergenic_proximal	RP11-435P24.2	13502
chr1	204264242	204264281	chr1:204264242-204264281	intronic	PLEKHA6	0
chr1	204622401	204622571	chr1:204622401-204622571	intronic	LRRN2	0
chr1	204931451	204931622	chr1:204931451-204931622	intronic	NFASC	0
chr1	208434840	208435292	chr1:208434840-208435292	intergenic_proximal	RP11-2P2.2	164174
chr1	208767896	208768362	chr1:208767896-208768362	intergenic_proximal	LINC01717	31611
chr1	209457495	209457725	chr1:209457495-209457725	intergenic_proximal	MIR205HG	24658
chr1	209561450	209561778	chr1:209561450-209561778	intronic	RP1-272L16.1	0
chr1	209815855	209816345	chr1:209815855-209816345	intergenic_proximal	IRF6	9681
chr1	210262673	210262903	chr1:210262673-210262903	intergenic_proximal	ST13P19	2733
chr1	212079771	212080111	chr1:212079771-212080111	intronic	DTL	0
chr1	213586118	213586631	chr1:213586118-213586631	intergenic_proximal	RP11-554K11.2	6852
chr1	213929367	213929539	chr1:213929367-213929539	intronic	PROX1-AS1	0
chr1	214028952	214029204	chr1:214028952-214029204	promoter_proximal	PROX1	0
chr1	214375937	214376227	chr1:214375937-214376227	exonic	PTPN14	0
chr1	215673061	215673249	chr1:215673061-215673249	intronic	USH2A	0
chr1	216183412	216184006	chr1:216183412-216184006	intronic	USH2A	0
chr1	216712618	216713204	chr1:216712618-216713204	intronic	ESRRG	0
chr1	216964763	216965005	chr1:216964763-216965005	intronic	ESRRG	0
chr1	217054616	217054763	chr1:217054616-217054763	intronic	ESRRG	0
chr1	217460295	217460499	chr1:217460295-217460499	intronic	GPATCH2	0
chr1	217770770	217771348	chr1:217770770-217771348	intronic	SPATA17	0
chr1	217851280	217851456	chr1:217851280-217851456	promoter_proximal	SPATA17	0
chr1	217857200	217857477	chr1:217857200-217857477	intronic	SPATA17	0
chr1	218219524	218219838	chr1:218219524-218219838	intergenic_proximal	RRP15	65455
chr1	218254959	218255504	chr1:218254959-218255504	intergenic_proximal	RRP15	29789
chr1	222886398	222887098	chr1:222886398-222887098	intronic	DISP1	0
chr1	224711113	224711156	chr1:224711113-224711156	promoter_proximal	CNIH3	0
chr1	228100329	228100635	chr1:228100329-228100635	intergenic_proximal	C1orf35	91
chr1	228449131	228449452	chr1:228449131-228449452	promoter_proximal	RPL23AP15	0
chr1	231539221	231539554	chr1:231539221-231539554	intronic	TSNAX	0
chr1	232034654	232034884	chr1:232034654-232034884	intronic	DISC1	0
chr1	234026485	234026597	chr1:234026485-234026597	promoter_proximal	SLC35F3	0
chr1	237044260	237044635	chr1:237044260-237044635	intronic	RYR2	0
chr1	238334160	238334410	chr1:238334160-238334410	intronic	RP11-136B18.2	0
chr1	243053120	243053508	chr1:243053120-243053508	promoter_proximal	SEPTIN14P21	869
chr1	243201363	243201474	chr1:243201363-243201474	intronic	CEP170	0
chr1	243339109	243339164	chr1:243339109-243339164	intronic	SDCCAG8	0
chr1	243476286	243476360	chr1:243476286-243476360	exonic	SDCCAG8	0
chr1	244037538	244037688	chr1:244037538-244037688	intronic	LINC02774	0
chr1	245157315	245157432	chr1:245157315-245157432	intronic	KIF26B	0
chr1	245225732	245225967	chr1:245225732-245225967	intronic	KIF26B	0
chr1	245688118	245688648	chr1:245688118-245688648	exonic	KIF26B	0
chr1	246067538	246068248	chr1:246067538-246068248	intronic	SMYD3	0
chr1	247184895	247185023	chr1:247184895-247185023	promoter_proximal	RP11-488L18.3	0
chr10	188840	189270	chr10:188840-189270	intronic	ZMYND11	0
chr10	1667570	1667705	chr10:1667570-1667705	intronic	ADARB2	0
chr10	2075293	2075493	chr10:2075293-2075493	promoter_proximal	RP11-69C17.2	0
chr10	3281968	3282258	chr10:3281968-3282258	intergenic_proximal	RP11-195B3.3	4320
chr10	4278188	4278558	chr10:4278188-4278558	intergenic_proximal	LINC00702	34277
chr10	4721968	4722378	chr10:4721968-4722378	intergenic_proximal	RP11-396D16.1	25468
chr10	6730096	6730258	chr10:6730096-6730258	intronic	RP11-799O21.4	0
chr10	6857839	6857986	chr10:6857839-6857986	intronic	LINC00707	0
chr10	6888664	6888817	chr10:6888664-6888817	intronic	RP11-799O21.2	0
chr10	7072675	7072827	chr10:7072675-7072827	intronic	RP11-799O21.2	0
chr10	7220016	7220307	chr10:7220016-7220307	intronic	SFMBT2	0
chr10	7320211	7320278	chr10:7320211-7320278	intronic	SFMBT2	0
chr10	8049676	8049703	chr10:8049676-8049703	promoter_proximal	GATA3	0
chr10	8122932	8123361	chr10:8122932-8123361	intergenic_proximal	PRPF38AP1	37899
chr10	8359990	8360179	chr10:8359990-8360179	intergenic_proximal	RP11-543F8.2	40681
chr10	8504571	8505091	chr10:8504571-8505091	intergenic_proximal	KRT8P37	8596
chr10	8534184	8534558	chr10:8534184-8534558	intergenic_proximal	KRT8P37	19079
chr10	8752157	8752307	chr10:8752157-8752307	intergenic_proximal	RP11-575N15.1	27870
chr10	9199884	9200633	chr10:9199884-9200633	intergenic_proximal	LINC00709	75200
chr10	10043049	10043282	chr10:10043049-10043282	intergenic_proximal	LINC02670	15440
chr10	10330698	10330854	chr10:10330698-10330854	intronic	RP11-26K22.2	0
chr10	10432275	10432538	chr10:10432275-10432538	intronic	CELF2-DT	0
chr10	10844895	10845180	chr10:10844895-10845180	intronic	CELF2	0
chr10	11035697	11036086	chr10:11035697-11036086	intronic	CELF2	0
chr10	14102801	14103011	chr10:14102801-14103011	intronic	FRMD4A	0
chr10	14191547	14191782	chr10:14191547-14191782	intronic	FRMD4A	0
chr10	14723322	14723671	chr10:14723322-14723671	promoter_proximal	FAM107B	0
chr10	16458291	16458612	chr10:16458291-16458612	intronic	PTER	0
chr10	16612585	16612742	chr10:16612585-16612742	intronic	RSU1	0
chr10	16663308	16663525	chr10:16663308-16663525	intronic	RSU1	0
chr10	17518565	17518823	chr10:17518565-17518823	intergenic_proximal	PRPF38AP2	58539
chr10	20710170	20710378	chr10:20710170-20710378	intergenic_proximal	NEBL	69595
chr10	21468779	21469421	chr10:21468779-21469421	intergenic_proximal	Y_RNA	12295
chr10	23961124	23961167	chr10:23961124-23961167	intronic	KIAA1217	0
chr10	24353431	24353661	chr10:24353431-24353661	intronic	KIAA1217	0
chr10	24494448	24494465	chr10:24494448-24494465	intronic	KIAA1217	0
chr10	24728545	24728698	chr10:24728545-24728698	intergenic_proximal	ARHGAP21	4659
chr10	28263511	28263826	chr10:28263511-28263826	promoter_proximal	MPP7	0
chr10	30361089	30361317	chr10:30361089-30361317	intronic	MTPAP	0
chr10	33032866	33033046	chr10:33032866-33033046	promoter_proximal	ITGB1-DT	0
chr10	33446112	33446262	chr10:33446112-33446262	intergenic_proximal	RP13-459H7.1	55178
chr10	33928681	33928855	chr10:33928681-33928855	intergenic_proximal	LINC02629	10878
chr10	35949492	35950111	chr10:35949492-35950111	intergenic_proximal	LINC02630	50530
chr10	38186554	38186801	chr10:38186554-38186801	intronic	PLD5P1	0
chr10	47181011	47181661	chr10:47181011-47181661	intergenic_proximal	GDF10	118536
chr10	49909611	49909998	chr10:49909611-49909998	promoter_proximal	PARG	0
chr10	59176560	59176622	chr10:59176560-59176622	promoter_proximal	PHYHIPL	21
chr10	61338142	61338540	chr10:61338142-61338540	intergenic_proximal	TMEM26	68102
chr10	62382816	62382988	chr10:62382816-62382988	intronic	ZNF365	0
chr10	66143495	66143616	chr10:66143495-66143616	intronic	CTNNA3	0
chr10	67188198	67188418	chr10:67188198-67188418	intronic	CTNNA3	0
chr10	67456318	67456544	chr10:67456318-67456544	intronic	CTNNA3	0
chr10	68251143	68251598	chr10:68251143-68251598	intergenic_proximal	LINC02640	8765
chr10	68253555	68253811	chr10:68253555-68253811	intergenic_proximal	KRT19P4	6746
chr10	71353923	71354113	chr10:71353923-71354113	intronic	SLC29A3	0
chr10	71649264	71649387	chr10:71649264-71649387	intronic	CDH23	0
chr10	73448932	73449040	chr10:73448932-73449040	intronic	PPP3CB	0
chr10	75426030	75426226	chr10:75426030-75426226	intergenic_proximal	RP11-399K21.10	4345
chr10	75678408	75678850	chr10:75678408-75678850	intronic	LRMDA	0
chr10	75723588	75724471	chr10:75723588-75724471	intronic	LRMDA	0
chr10	75739787	75740117	chr10:75739787-75740117	intronic	LRMDA	0
chr10	75789714	75789856	chr10:75789714-75789856	intronic	LRMDA	0
chr10	76021348	76021712	chr10:76021348-76021712	intronic	LRMDA	0
chr10	76050042	76050437	chr10:76050042-76050437	intronic	LRMDA	0
chr10	76054329	76054770	chr10:76054329-76054770	intronic	LRMDA	0
chr10	76250622	76251192	chr10:76250622-76251192	intronic	LRMDA	0
chr10	77114542	77114777	chr10:77114542-77114777	exonic	KCNMA1	0
chr10	78574390	78574693	chr10:78574390-78574693	intronic	RP11-90J7.3	0
chr10	78663843	78664013	chr10:78663843-78664013	intronic	RP11-90J7.3	0
chr10	82192020	82192376	chr10:82192020-82192376	intronic	NRG3	0
chr10	85546299	85546526	chr10:85546299-85546526	intergenic_proximal	RNU6-325P	8817
chr10	86009312	86009521	chr10:86009312-86009521	intronic	GRID1	0
chr10	90642156	90642342	chr10:90642156-90642342	intergenic_proximal	LINC02653	13305
chr10	92790015	92790148	chr10:92790015-92790148	intergenic_proximal	EXOC6	36683
chr10	93342982	93343202	chr10:93342982-93343202	intronic	MYOF	0
chr10	96189018	96189795	chr10:96189018-96189795	promoter_proximal	ZNF518A	0
chr10	96513991	96514086	chr10:96513991-96514086	promoter_proximal	TLL2	66
chr10	96621433	96621604	chr10:96621433-96621604	promoter_proximal	PIK3AP1	0
chr10	98845788	98845951	chr10:98845788-98845951	intronic	HPSE2	0
chr10	101966894	101967007	chr10:101966894-101967007	intronic	ARMH3	0
chr10	104574451	104574983	chr10:104574451-104574983	intronic	RP11-127O4.2	0
chr10	104982330	104982518	chr10:104982330-104982518	intronic	SORCS3	0
chr10	105122130	105122185	chr10:105122130-105122185	intronic	SORCS3	0
chr10	105340606	105340907	chr10:105340606-105340907	intergenic_proximal	SORCS3	75365
chr10	106767999	106768298	chr10:106767999-106768298	intronic	SORCS1	0
chr10	107027522	107027672	chr10:107027522-107027672	intronic	SORCS1	0
chr10	107049610	107049837	chr10:107049610-107049837	intronic	SORCS1	0
chr10	107671822	107672212	chr10:107671822-107672212	intergenic_proximal	LINC01435	22761
chr10	111413058	111413071	chr10:111413058-111413071	intergenic_proximal	RP11-381K7.1	60956
chr10	112585861	112586311	chr10:112585861-112586311	intronic	VTI1A	0
chr10	113299385	113299560	chr10:113299385-113299560	intergenic_proximal	RNU7-165P	53865
chr10	113552489	113552553	chr10:113552489-113552553	promoter_proximal	HABP2	0
chr10	114706893	114706910	chr10:114706893-114706910	intronic	ABLIM1	0
chr10	114915381	114915711	chr10:114915381-114915711	intergenic_proximal	RPL15P13	14016
chr10	115876842	115877083	chr10:115876842-115877083	intronic	ATRNL1	0
chr10	116015710	116015816	chr10:116015710-116015816	intergenic_proximal	GFRA1	41109
chr10	116114289	116114519	chr10:116114289-116114519	intronic	GFRA1	0
chr10	117594809	117595059	chr10:117594809-117595059	intergenic_proximal	RP11-99L6.1	914
chr10	117748091	117748310	chr10:117748091-117748310	intronic	LINC02674	0
chr10	118043738	118044037	chr10:118043738-118044037	intronic	RAB11FIP2	0
chr10	118378195	118378592	chr10:118378195-118378592	intronic	LINC00867	0
chr10	118415809	118416013	chr10:118415809-118416013	intergenic_proximal	LINC00867	17342
chr10	120410270	120410587	chr10:120410270-120410587	intergenic_proximal	RP11-572P18.2	24396
chr10	121186159	121186488	chr10:121186159-121186488	intergenic_proximal	LINC01153	194
chr10	121188570	121188792	chr10:121188570-121188792	intergenic_proximal	LINC01153	2605
chr10	121305146	121305396	chr10:121305146-121305396	intergenic_proximal	RN7SKP167	105520
chr10	121313126	121313416	chr10:121313126-121313416	intergenic_proximal	RN7SKP167	97500
chr10	121509166	121509416	chr10:121509166-121509416	intronic	FGFR2	0
chr10	122154705	122155085	chr10:122154705-122155085	promoter_proximal	TACC2	0
chr10	123396541	123396881	chr10:123396541-123396881	intronic	LINC02641	0
chr10	123514171	123514349	chr10:123514171-123514349	intronic	LINC02641	0
chr10	125124276	125124426	chr10:125124276-125124426	intronic	CTBP2	0
chr10	125501517	125501855	chr10:125501517-125501855	intergenic_proximal	RPS27P18	27586
chr10	127157776	127158191	chr10:127157776-127158191	intronic	DOCK1	0
chr10	128975888	128976100	chr10:128975888-128976100	intergenic_proximal	RP11-442O18.4	7149
chr10	129045906	129046131	chr10:129045906-129046131	intergenic_proximal	RP11-442O18.4	77167
chr10	129171803	129172161	chr10:129171803-129172161	intergenic_proximal	RP11-168C9.1	106090
chr10	129183794	129184017	chr10:129183794-129184017	intergenic_proximal	RP11-168C9.1	94234
chr10	129331168	129331236	chr10:129331168-129331236	intergenic_proximal	RP11-168C9.1	39447
chr10	129434613	129434808	chr10:129434613-129434808	intergenic_proximal	MGMT	32382
chr10	129762680	129763254	chr10:129762680-129763254	intronic	MGMT	0
chr10	129955904	129956424	chr10:129955904-129956424	intronic	EBF3	0
chr10	130817116	130817366	chr10:130817116-130817366	intergenic_proximal	MIR378C	145222
chr10	131557630	131557692	chr10:131557630-131557692	intergenic_proximal	LINC01164	214706
chr10	132657846	132658553	chr10:132657846-132658553	intronic	INPP5A	0
chr10	132786351	132786439	chr10:132786351-132786439	promoter_proximal	NKX6-2	205
chr11	508178	508761	chr11:508178-508761	promoter_proximal	RNH1	879
chr11	2624780	2625633	chr11:2624780-2625633	intronic	KCNQ1	0
chr11	3831846	3832042	chr11:3831846-3832042	intronic	RHOG	0
